ScientificName,SpecCode,CommonName,Environments,Subspecies
Thymallus arcticus,2693,American grayling,['fresh'],[]
Thymallus baicalensis,8586,Baikal black grayling,['fresh'],[]
Thymallus brevipinnis,63142,Valge baikali harjus,['fresh'],[]
Thymallus brevirostris,4643,Kharius mongol'skiy,['fresh'],[]
Thymallus burejensis,63141,Bureja harjus,['fresh'],[]
Thymallus flavomaculatus,63055,Yellow-spotted grayling,"['fresh', 'brackish', 'salt']",[]
Thymallus grubii,46544,Amur grayling,['fresh'],[]
Thymallus mertensii,61680,Kamtšatka harjus,"['fresh', 'brackish']",[]
Thymallus nigrescens,48255,Kosogol grayling,['fresh'],[]
Thymallus pallasii,48138,East Siberian grayling,"['fresh', 'brackish']",[]
Thymallus svetovidovi,64861,Jenissei harjus,['fresh'],[]
Thymallus thymallus,4605,Aesch,"['fresh', 'brackish']",[]
Thymallus tugarinae,63284,lower Amur grayling,['fresh'],[]
Thymallus yaluensis,25609,Jalu harjus,['fresh'],[]
