ScientificName,SpecCode,CommonName,Environments,Subspecies
Sparisoma amplum,59491,Reef parrotfish,['salt'],[]
Sparisoma atomarium,3675,Greenblotch parrotfish,['salt'],[]
Sparisoma aurofrenatum,1158,Black parrot,['salt'],[]
Sparisoma axillare,59492,Gray parrotfish,['salt'],[]
Sparisoma choati,66403,West-African Parrotfish,['salt'],[]
Sparisoma chrysopterum,1159,Blisterside,['salt'],[]
Sparisoma cretense,13025,Almindelig papegøjefisk,['salt'],[]
Sparisoma frondosum,61101,Agassiz's parrotfish,['salt'],[]
Sparisoma griseorubrum,60692,,['salt'],[]
Sparisoma radians,3676,Bodião-verde,['salt'],[]
Sparisoma rocha,65546,Trindade parrotfish,['salt'],[]
Sparisoma rubripinne,1160,Batata,['salt'],[]
Sparisoma strigatum,22546,Parrotfish,['salt'],[]
Sparisoma tuiupiranga,61816,,['salt'],[]
Sparisoma viride,1161,Batata,['salt'],[]
