ScientificName,SpecCode,CommonName,Environments,Subspecies
Schindleria brevipinguis,61753,Lühike šindleeria,['salt'],[]
Schindleria edentata,70304,,['salt'],[]
Schindleria elongata,68359,Elongate paedomorphic goby,['salt'],[]
Schindleria macrodentata,69463,Schindler's large-toothed goby,['salt'],[]
Schindleria multidentata,69464,,['salt'],[]
Schindleria nana,70612,,['salt'],[]
Schindleria nigropunctata,68850,Blackpotted paedomorphic goby,['salt'],[]
Schindleria parva,70303,Pygmy schindleriid,['salt'],[]
Schindleria pietschmanni,52863,Pietschmanni šindleeria,['salt'],[]
Schindleria praematura,23843,Floater,['salt'],[]
