ScientificName,SpecCode,CommonName,Environments,Subspecies
Scomberomorus brasiliensis,119,Atlantic sierra,['salt'],[]
Scomberomorus cavalla,120,Atlantisk kongemakrel,['salt'],[]
Scomberomorus commerson,121, వరిమెన్,['salt'],[]
Scomberomorus concolor,122,Carite de Monterey,"['brackish', 'salt']",[]
Scomberomorus guttatus,123,Ajong ajong,"['brackish', 'salt']",[]
Scomberomorus koreanus,124,Avstralijskaya korolevskaya makrel,['salt'],[]
Scomberomorus lineolatus,125,Alu thora,['salt'],[]
Scomberomorus maculatus,126,Atlantic spanish mackerel,['salt'],[]
Scomberomorus multiradiatus,128,Carite papuense,"['brackish', 'salt']",[]
Scomberomorus munroi,129,Austraalia kuningmakrell,['salt'],[]
Scomberomorus niphonius,131,Bà yú,['salt'],[]
Scomberomorus plurilineatus,132,Carite canadi,['salt'],[]
Scomberomorus queenslandicus,133,Blotched mackerel,"['brackish', 'salt']",[]
Scomberomorus regalis,134,Alasana,['salt'],[]
Scomberomorus semifasciatus,135,Broadbanded mackerel,"['brackish', 'salt']",[]
Scomberomorus sierra,136,Carite sierra,['salt'],[]
Scomberomorus sinensis,137,Cá thu song,"['fresh', 'brackish', 'salt']",[]
Scomberomorus tritor,141,Adzuda,"['brackish', 'salt']",[]
