ScientificName,SpecCode,CommonName,Environments,Subspecies
Neomerinthe amplisquamiceps,11662,Depu,['salt'],[]
Neomerinthe bauchotae,57970,鮑氏新棘鮋,['salt'],[]
Neomerinthe beanorum,48366,波多黎各新棘鮋,['salt'],[]
Neomerinthe erostris,67257,Round scorpionfish,['salt'],[]
Neomerinthe folgori,10183,Folger's scorpionfish,['salt'],[]
Neomerinthe hemingwayi,3930,Rascacio mejilla espinosa,['salt'],[]
Neomerinthe kaufmani,68344,,['salt'],[]
Neomerinthe megalepis,10636,大鱗新棘鮋,['salt'],[]
Neomerinthe naevosa,66750,Blotched Polynesian scorpionfish,['salt'],[]
Neomerinthe pallidimacula,59577,,['salt'],[]
Neomerinthe procurva,10635,Curvedspine scorpionfish,['salt'],[]
Neomerinthe rufescens,61173,,['salt'],[]
