ScientificName,SpecCode,CommonName,Environments,Subspecies
Pontinus accraensis,5006,Cantarilho,['salt'],[]
Pontinus castor,1200,Longsnout Scorpionfish,['salt'],[]
Pontinus clemensi,8221,Brujo pintado,['salt'],[]
Pontinus corallinus,59578,珊瑚海鮋,['salt'],[]
Pontinus furcirhinus,14205,Brujo larguiespina,['salt'],[]
Pontinus helena,46277,Nanbei-hiodoshi,['salt'],[]
Pontinus kuhlii,5007,Bagre,['salt'],[]
Pontinus leda,17250,Gespikkelde diepwater skerpioenvis,['salt'],[]
Pontinus longispinis,3931,Lapón mariposa,['salt'],[]
Pontinus macrocephalus,8280,Depu,['salt'],[]
Pontinus nematophthalmus,3932,Lapón aleta baja,['salt'],[]
Pontinus nigerimum,23275,Blacklash scorpionfish,['salt'],[]
Pontinus nigropunctatus,10184,Deepwater Jack,['salt'],[]
Pontinus rathbuni,3933,Highfin scorpionfish,['salt'],[]
Pontinus rhodochrous,56754,,['salt'],[]
Pontinus sierra,8222,Brujo ojón,['salt'],[]
Pontinus strigatus,59566,Brujo,['salt'],[]
Pontinus tentacularis,55334,Depu,['salt'],[]
Pontinus vaughani,14212,Lapón lomo manchado,['salt'],[]
