ScientificName,SpecCode,CommonName,Environments,Subspecies
Hypoplectrus aberrans,47862,Bad lucks,['salt'],[]
Hypoplectrus affinis,70561,Bluelip hamlet,['salt'],[]
Hypoplectrus atlahua,67258,Jarocho hamlet,['salt'],[]
Hypoplectrus castroaguirrei,66548,,['salt'],[]
Hypoplectrus chlorurus,12765,Okfes heel,['salt'],[]
Hypoplectrus ecosur,66622,Spotted hamlet,['salt'],[]
Hypoplectrus floridae,66621,Florida hamlet,['salt'],[]
Hypoplectrus gemma,47813,Bad lucks,['salt'],[]
Hypoplectrus gummigutta,16533,Golden Hamlet,['salt'],[]
Hypoplectrus guttavarius,16534,Bad lucks,['salt'],[]
Hypoplectrus indigo,12766,Bad lucks,['salt'],[]
Hypoplectrus liberte,68993,Mero rayado,['salt'],[]
Hypoplectrus maculiferus,66374,,['salt'],[]
Hypoplectrus maya,66319,Maya hamlet,['salt'],[]
Hypoplectrus nigricans,16535,Bad lucks,['salt'],[]
Hypoplectrus providencianus,57460,Masked Hamlet,['salt'],[]
Hypoplectrus puella,12759,Bad lucks,['salt'],[]
Hypoplectrus randallorum,66320,Tan Hamlet,['salt'],[]
Hypoplectrus unicolor,3329,Añil,['salt'],[]
