ScientificName,SpecCode,CommonName,Environments,Subspecies
Serranus accraensis,5028,Ghanean comber,['salt'],[]
Serranus aequidens,50095,Deepwater serrano,['salt'],[]
Serranus aliceae,67805,,['salt'],[]
Serranus annularis,3342,Orangeback bass,['salt'],[]
Serranus atricauda,14418,Blacktail comber,['salt'],[]
Serranus atrobranchus,3343,Blackear bass,['salt'],[]
Serranus baldwini,3344,Baldwini kiviahven,['salt'],[]
Serranus cabrilla,1353,Abborrkilling,['salt'],[]
Serranus chionaraia,3345,Serrano Nevado,['salt'],[]
Serranus drewesi,68804,,['salt'],[]
Serranus flaviventris,12339,Jacundá,['salt'],[]
Serranus hepatus,14419,Afanecada,['salt'],[]
Serranus heterurus,61273,,['salt'],[]
Serranus huascarii,50096,Camotillo,['salt'],[]
Serranus inexpectatus,68805,,['salt'],[]
Serranus luciopercanus,57917,Crosshatch Bass,['salt'],[]
Serranus maytagi,57920,,['salt'],[]
Serranus notospilus,3346,Saddle bass,['salt'],[]
Serranus novemcinctus,16881,Balk-klipkabeljou,['salt'],[]
Serranus phoebe,3347,Diana,['salt'],[]
Serranus psittacinus,14298,Barred serrano,['salt'],[]
Serranus pulcher,68148,,['salt'],[]
Serranus sanctaehelenae,13807,Deepwater Brown Mullet,['salt'],[]
Serranus scriba,1761,Alecrim,['salt'],[]
Serranus socorroensis,46537,Serrano de Socorro,['salt'],[]
Serranus stilbostigma,58757,Camotillo,['salt'],[]
Serranus subligarius,3348,Belted Sandfish,['salt'],[]
Serranus tabacarius,3349,Bout de tabac,['salt'],[]
Serranus tico,65899,,['salt'],[]
Serranus tigrinus,3350,Guatacare rayao,['salt'],[]
Serranus tortugarum,3351,Chalk bass,['salt'],[]
