ScientificName,SpecCode,CommonName,Environments,Subspecies
Metynnis altidorsalis,56431,,['fresh'],[]
Metynnis argenteus,25518,Hopealevytetra,['fresh'],[]
Metynnis cuiaba,64970,,['fresh'],[]
Metynnis fasciatus,56433,Pacu,['fresh'],[]
Metynnis guaporensis,56430,Pacu,['fresh'],[]
Metynnis hypsauchen,11937,Almindelig skivekarpelaks,['fresh'],[]
Metynnis lippincottianus,26527,Gefleckter Scheibensalmler,['fresh'],[]
Metynnis longipinnis,64780,Silverdollar,['fresh'],[]
Metynnis luna,51152,Kuulevytetra,['fresh'],[]
Metynnis maculatus,11940,Gefleckter Scheibensalmler,['fresh'],[]
Metynnis mola,53328,Möhkälevytetra,['fresh'],[]
Metynnis orinocensis,58138,,['fresh'],[]
Metynnis otuquensis,56432,pacú,['fresh'],[]
Metynnis polystictus,64781,,['fresh'],[]
