ScientificName,SpecCode,CommonName,Environments,Subspecies
Myloplus arnoldi,53334,Pacu branco,['fresh'],[]
Myloplus asterias,58100,Pacu,['fresh'],[]
Myloplus levis,51156,Coxa de negro,['fresh'],[]
Myloplus lobatus,58101,,['fresh'],[]
Myloplus lucienae,68182,,['fresh'],[]
Myloplus nigrolineatus,69301,Blackline myleus,['fresh'],[]
Myloplus planquettei,61633,kumalu,['fresh'],[]
Myloplus rubripinnis,11944,Be agba,['fresh'],[]
Myloplus schomburgkii,11960,Black band myleus,['fresh'],[]
Myloplus ternetzi,28031,Be agba,['fresh'],[]
Myloplus tiete,53462,Pacu peva,['fresh'],[]
Myloplus torquatus,25523,Pacu branco,['fresh'],[]
Myloplus zorroi,68181,,['fresh'],[]
