ScientificName,SpecCode,CommonName,Environments,Subspecies
Serrasalmus altispinis,57955,Piranha,['fresh'],[]
Serrasalmus altuvei,52025,Caribe azul,['fresh'],[]
Serrasalmus auriventris,66128,,['fresh'],[]
Serrasalmus brandtii,11963,Harmaapiraija,['fresh'],[]
Serrasalmus compressus,51588,Piraña,['fresh'],[]
Serrasalmus eigenmanni,53373,Ipilay,['fresh'],[]
Serrasalmus elongatus,11964,Caribe pinche,['fresh'],[]
Serrasalmus emarginatus,58148,,['fresh'],[]
Serrasalmus geryi,53363,Mustaotsapiraija,['fresh'],[]
Serrasalmus gibbus,58142,Kyrmypiraija,['fresh'],[]
Serrasalmus gouldingi,51991,Caribe negro,['fresh'],[]
Serrasalmus hastatus,58139,Piranha,['fresh'],[]
Serrasalmus hollandi,53491,Piraña,['fresh'],[]
Serrasalmus humeralis,4759,Ipilay,"['fresh', 'brackish']",[]
Serrasalmus irritans,53376,Caribe pinche,['fresh'],[]
Serrasalmus maculatus,58140,Catirina,['fresh'],[]
Serrasalmus manueli,53362,Caribe cachamero,['fresh'],[]
Serrasalmus marginatus,55016,catirina,['fresh'],[]
Serrasalmus medinai,53374,Caribe morichalero,['fresh'],[]
Serrasalmus nalseni,53375,Caribe pintado,['fresh'],[]
Serrasalmus neveriensis,53364,委內瑞拉鋸脂鯉,['fresh'],[]
Serrasalmus nigricans,53360,,['fresh'],[]
Serrasalmus nigricauda,66129,,['fresh'],[]
Serrasalmus odyssei,65820,,['fresh'],[]
Serrasalmus rhombeus,11970,Black piranha,['fresh'],[]
Serrasalmus sanchezi,51194,Paña,['fresh'],[]
Serrasalmus scotopterus,58149,,['fresh'],[]
Serrasalmus serrulatus,51196,Paña,['fresh'],[]
Serrasalmus spilopleura,11973,catirina,['fresh'],[]
Serrasalmus stagnatilis,58150,,['fresh'],[]
Serrasalmus undulatus,58151,,['fresh'],[]
