ScientificName,SpecCode,CommonName,Environments,Subspecies
Sillago aeolus,8491,Asuhos,['salt'],[]
Sillago analis,8492,Golden lined whiting,"['brackish', 'salt']",[]
Sillago arabica,8494,Arabian sillago,['salt'],[]
Sillago argentifasciata,8495,Ago-os,['salt'],[]
Sillago asiatica,8496,Asian sillago,['salt'],[]
Sillago attenuata,8497,Hasum,['salt'],[]
Sillago bassensis,8498,Bass strait whiting,['salt'],[]
Sillago boutani,8504,Boutan's sillago,['salt'],[]
Sillago burrus,8505,Ago-os,['salt'],[]
Sillago caudicula,66009,,['salt'],[]
Sillago ciliata,4709,Blue-nose,"['brackish', 'salt']",[]
Sillago flindersi,8512,Bass Strait whiting,['salt'],[]
Sillago indica,8517,Indian sillago,['salt'],[]
Sillago ingenuua,8518,Bay sillago,['salt'],[]
Sillago intermedia,8520,Intermediate sillago,['salt'],[]
Sillago japonica,6576,Ago-os,['salt'],[]
Sillago lutea,8529,Mud sillago,['salt'],[]
Sillago maculata,7925,Ago-os,"['brackish', 'salt']",[]
Sillago megacephalus,8531,Large-headed sillago,['salt'],[]
Sillago microps,8532,Pêche-madame petits yeux,['salt'],[]
Sillago nierstraszi,8533,Pêche-madame rêche,['salt'],[]
Sillago nigrofasciata,70388,,['salt'],[]
Sillago panhwari,69235,Yellow-brown sillago,['salt'],[]
Sillago parvisquamis,8534,Aogisu,"['brackish', 'salt']",[]
Sillago robusta,8535,Pêche-madame gaillard,['salt'],[]
Sillago schomburgkii,7972,Fine-scale whiting,"['brackish', 'salt']",[]
Sillago shaoi,70545,,"['brackish', 'salt']",[]
Sillago sihama,4544,Ago-os,"['brackish', 'salt']",[]
Sillago sinica,65964,,"['brackish', 'salt']",[]
Sillago soringa,8537,Pêche-madame soringa,['salt'],[]
Sillago suezensis,67275,Sivriburunlu gümüş balığı,['salt'],[]
Sillago vincenti,8319,Bebolos,"['brackish', 'salt']",[]
Sillago vittata,8538,Banded sillago,['salt'],[]
