ScientificName,SpecCode,CommonName,Environments,Subspecies
Pterocryptis anomala,62494,Hiina taanduimsäga,['fresh'],[]
Pterocryptis barakensis,63647,,['fresh'],[]
Pterocryptis berdmorei,24743,Burmese silurus,['fresh'],[]
Pterocryptis bokorensis,26736,柬埔寨鯰,['fresh'],[]
Pterocryptis buccata,55623,Cave sheatfish,['fresh'],[]
Pterocryptis burmanensis,55625,Burmanmonni,['fresh'],[]
Pterocryptis cochinchinensis,14488,Cá thèo,['fresh'],[]
Pterocryptis crenula,59154,,['fresh'],[]
Pterocryptis cucphuongensis,55626,Vietnaminmonni,['fresh'],[]
Pterocryptis furnessi,23111,弗氏隐鳍鲶,['fresh'],[]
Pterocryptis gangelica,55622,Afghanistan silurus,['fresh'],[]
Pterocryptis indica,24737,Intianmonni,['fresh'],[]
Pterocryptis inusitata,58073,,['fresh'],[]
Pterocryptis taytayensis,5194,Hito,['fresh'],[]
Pterocryptis torrentis,24744,Thailand silurus,['fresh'],[]
Pterocryptis verecunda,59162,,['fresh'],[]
Pterocryptis wynaadensis,24745,Malabar silurus,['fresh'],[]
