ScientificName,SpecCode,CommonName,Environments,Subspecies
Exostoma barakense,64594,,['fresh'],[]
Exostoma berdmorei,24819,Vyökoskimonni,['fresh'],[]
Exostoma effrenum,67517,,['fresh'],[]
Exostoma gaoligongense,69509,Gaoligong mountain catfish,['fresh'],[]
Exostoma labiatum,24820,Burmese bat catfish,['fresh'],[]
Exostoma peregrinator,67518,,['fresh'],[]
Exostoma sawmteai,68879,,['fresh'],[]
Exostoma stuarti,24821,斯氏鰋,['fresh'],[]
Exostoma tenuicaudatum,68194,,['fresh'],[]
Exostoma vinciguerrae,64624,長鬚鰋,['fresh'],[]
