ScientificName,SpecCode,CommonName,Environments,Subspecies
Glyptothorax alaknandi,63638,Kapre,['fresh'],[]
Glyptothorax amnestus,70068,,['fresh'],[]
Glyptothorax anamalaiensis,66247,,['fresh'],[]
Glyptothorax annandalei,24851,Kapre,['fresh'],[]
Glyptothorax armeniacus,48193,Armeenia pisisäga,['fresh'],[]
Glyptothorax ater,65957,,['fresh'],[]
Glyptothorax botius,62442,Telcapre,['fresh'],[]
Glyptothorax brevipinnis,24853,短鰭紋胸鮡,['fresh'],[]
Glyptothorax buchanani,26976,布坎南氏紋胸鮡,['fresh'],[]
Glyptothorax burmanicus,65191,,['fresh'],[]
Glyptothorax callopterus,26978,丽鳍纹胸鮡,['fresh'],[]
Glyptothorax caudimaculatus,65958,,['fresh'],[]
Glyptothorax cavia,13375,Catfish,['fresh'],[]
Glyptothorax chimtuipuiensis,65808,,['fresh'],[]
Glyptothorax chindwinica,63239,,['fresh'],[]
Glyptothorax churamanii,67895,,['fresh'],[]
Glyptothorax clavatus,67730,,['fresh'],[]
Glyptothorax conirostris,13378,錐吻紋胸鮡,['fresh'],[]
Glyptothorax coracinus,64621,,['fresh'],[]
Glyptothorax cous,54830,Tigris cat,['fresh'],[]
Glyptothorax davissinghi,60638,പാറയൊട്ടി,['fresh'],[]
Glyptothorax decussatus,70069,,['fresh'],[]
Glyptothorax deqinensis,56085,德欽紋胸鮡,['fresh'],[]
Glyptothorax dikrongensis,65907,,['fresh'],[]
Glyptothorax distichus,70550,,['fresh'],[]
Glyptothorax dorsalis,26979,亮背紋胸鮡,['fresh'],[]
Glyptothorax elankadensis,67796,Travancore rock catfish,['fresh'],[]
Glyptothorax exodon,62705,,['fresh'],[]
Glyptothorax famelicus,70070,,['fresh'],[]
Glyptothorax filicatus,64719,,['fresh'],[]
Glyptothorax fokiensis,55085,宽鳍纹胸鮡,"['fresh', 'brackish']",[]
Glyptothorax forabilis,70410,,['fresh'],[]
Glyptothorax fucatus,66562,,['fresh'],[]
Glyptothorax fuscus,26754,Trey kanchos krawbey,['fresh'],[]
Glyptothorax garhwali,24860,Capre,['fresh'],[]
Glyptothorax giudikyensis,70549,,['fresh'],[]
Glyptothorax gopii,70548,,['fresh'],[]
Glyptothorax gracilis,24861,Capre,['fresh'],[]
Glyptothorax granosus,66561,,['fresh'],[]
Glyptothorax granulus,63238,,['fresh'],[]
Glyptothorax hainanensis,66250,,['fresh'],[]
Glyptothorax honghensis,60151,紅河紋胸鮡,['fresh'],[]
Glyptothorax horai,67432,,['fresh'],[]
Glyptothorax housei,24862,Kalkkari,['fresh'],[]
Glyptothorax igniculus,67047,,['fresh'],[]
Glyptothorax indicus,24864,Capre,['fresh'],[]
Glyptothorax interspinalum,60150,純色紋胸鮡,['fresh'],[]
Glyptothorax jalalensis,58615,阿富汗紋胸鮡,['fresh'],[]
Glyptothorax jayarami,66556,,['fresh'],[]
Glyptothorax kashmirensis,24865,克什米尔纹胸鮡,['fresh'],[]
Glyptothorax keluk,70071,,['fresh'],[]
Glyptothorax ketambe,64915,,['fresh'],[]
Glyptothorax kudremukhensis,64595,,['fresh'],[]
Glyptothorax kurdistanicus,51041,Gorbeh Mahi Kordestan,['fresh'],[]
Glyptothorax laak,66117,,['fresh'],[]
Glyptothorax lampris,26757,Lampen-Gebirgswels,['fresh'],[]
Glyptothorax lanceatus,66496,,['fresh'],[]
Glyptothorax laosensis,26760,Pfeilgebirgswels,['fresh'],[]
Glyptothorax lonah,24866,Bande-girlu,['fresh'],[]
Glyptothorax longicauda,60156,長尾紋胸鮡,['fresh'],[]
Glyptothorax longjiangensis,60149,龍江紋胸鮡,['fresh'],[]
Glyptothorax maceriatus,66943,,['fresh'],[]
Glyptothorax macromaculatus,50402,大斑紋胸鮡,['fresh'],[]
