ScientificName,SpecCode,CommonName,Environments,Subspecies
Pseudolaguvia assula,67853,,['fresh'],[]
Pseudolaguvia austrina,65951,,['fresh'],[]
Pseudolaguvia ferruginea,65183,,['fresh'],[]
Pseudolaguvia ferula,63502,,['fresh'],[]
Pseudolaguvia flavida,65184,,['fresh'],[]
Pseudolaguvia foveolata,62193,,['fresh'],[]
Pseudolaguvia fucosa,68686,,['fresh'],[]
Pseudolaguvia inornata,62574,,['fresh'],[]
Pseudolaguvia jiyaensis,67743,,['fresh'],[]
Pseudolaguvia kapuri,24892,Datari,['fresh'],[]
Pseudolaguvia lapillicola,67851,,['fresh'],[]
Pseudolaguvia magna,67742,,['fresh'],[]
Pseudolaguvia muricata,62575,,['fresh'],[]
Pseudolaguvia nubila,66992,,['fresh'],[]
Pseudolaguvia ribeiroi,24893,Bistuiya,['fresh'],[]
Pseudolaguvia shawi,24894,Kani tengra,['fresh'],[]
Pseudolaguvia spicula,65758,,['fresh'],[]
Pseudolaguvia tenebricosa,61551,,['fresh'],[]
Pseudolaguvia tuberculata,24953,Burmanlaguvia,['fresh'],[]
Pseudolaguvia vespa,70300,,['fresh'],[]
Pseudolaguvia virgulata,65586,,['fresh'],[]
Pseudolaguvia viriosa,66654,,['fresh'],[]
