ScientificName,SpecCode,CommonName,Environments,Subspecies
Aseraggodes albidus,63912,White sole,['salt'],[]
Aseraggodes andersoni,68441,,['salt'],[]
Aseraggodes auroculus,62934,,['salt'],[]
Aseraggodes bahamondei,27517,Bahamonde's sole,['salt'],[]
Aseraggodes beauforti,63922,,['salt'],[]
Aseraggodes borehami,27174,Boreham's sole,['salt'],[]
Aseraggodes brevirostris,63025,,['salt'],[]
Aseraggodes chapleaui,63913,Madang sole,['salt'],[]
Aseraggodes cheni,64596,,['salt'],[]
Aseraggodes corymbus,63946,,['salt'],[]
Aseraggodes crypticus,65659,Cryptic Sole,['salt'],[]
Aseraggodes cyaneus,10584,青栉鳞鳎,['salt'],[]
Aseraggodes cyclurus,62935,,['salt'],[]
Aseraggodes diringeri,59666,德氏副拟鳎,['salt'],[]
Aseraggodes dubius,24093,,['salt'],[]
Aseraggodes filiger,24088,,"['brackish', 'salt']",[]
Aseraggodes firmisquamis,62598,,['salt'],[]
Aseraggodes guttulatus,58954,滴斑栉鳞鳎,['salt'],[]
Aseraggodes haackeanus,58950,Lõuna-kihvtikeel,['salt'],[]
Aseraggodes heemstrai,63029,,['salt'],[]
Aseraggodes heraldi,62597,,['salt'],[]
Aseraggodes herrei,14113,Herre's sole,['salt'],[]
Aseraggodes holcomi,60812,,['salt'],[]
Aseraggodes jenny,63030,,['salt'],[]
Aseraggodes kaianus,24090,Kian sole,['salt'],[]
Aseraggodes kimurai,63914,,['salt'],[]
Aseraggodes kobensis,24243,Hè bān zhì lín tǎ,['salt'],[]
Aseraggodes kruppi,68442,,['salt'],[]
Aseraggodes lateralis,62936,,['salt'],[]
Aseraggodes lenisquamis,62938,,"['brackish', 'salt']",[]
Aseraggodes longipinnis,63915,Longfinned sole,['salt'],[]
Aseraggodes macronasus,68443,,['salt'],[]
Aseraggodes magnoculus,62939,,['salt'],[]
Aseraggodes martine,68444,,['salt'],[]
Aseraggodes matsuurai,63916,Lombok sole,['salt'],[]
Aseraggodes melanostictus,22522,Black spotted sole,['salt'],[]
Aseraggodes microlepidotus,61349,,['salt'],[]
Aseraggodes nigrocirratus,62940,,['salt'],[]
Aseraggodes normani,27584,,['salt'],[]
Aseraggodes orientalis,64597,,['salt'],[]
Aseraggodes pelvicus,62941,,['salt'],[]
Aseraggodes ramsaii,61355,,['salt'],[]
Aseraggodes satapoomini,63917,Andaman sole,['salt'],[]
Aseraggodes senoui,63918,Mabul sole,['salt'],[]
Aseraggodes sinusarabici,58956,,['salt'],[]
Aseraggodes steinitzi,63031,,['salt'],[]
Aseraggodes suzumotoi,63919,Ambon sole,['salt'],[]
Aseraggodes texturatus,61350,,['salt'],[]
Aseraggodes therese,27175,Therese's sole,['salt'],[]
Aseraggodes umbratilis,63032,,['salt'],[]
Aseraggodes whitakeri,22541,Whitaker's sole,['salt'],[]
Aseraggodes winterbottomi,63920,Negros sole,['salt'],[]
Aseraggodes xenicus,8908,Dwarf sole,['salt'],[]
Aseraggodes zizette,63921,Mentawai sole,['salt'],[]
