ScientificName,SpecCode,CommonName,Environments,Subspecies
Diplodus annularis,1752,Alcarraz,"['brackish', 'salt']",[]
Diplodus argenteus,3574,Chinelão,['salt'],[]
Diplodus ascensionis,8065,Old wife,['salt'],[]
Diplodus bellottii,8062,Breca,['salt'],[]
Diplodus bermudensis,8106,Bermuda porgy,['salt'],[]
Diplodus cadenati,8066,Moroccan white seabream,['salt'],[]
Diplodus capensis,6004,Bindenbrasse,['salt'],[]
Diplodus caudimacula,1230,Roundspot porgy,['salt'],[]
Diplodus cervinus,2497,Asfoura,['salt'],[]
Diplodus fasciatus,8063,Banded seabream,['salt'],[]
Diplodus helenae,8069,Old wife,['salt'],[]
Diplodus holbrookii,1231,Holbrooks havrude,"['brackish', 'salt']",[]
Diplodus hottentotus,7932,Sar à grosses lèvres,"['brackish', 'salt']",[]
Diplodus kotschyi,8113,Emchawah,['salt'],[]
Diplodus levantinus,68249,,['salt'],[]
Diplodus lineatus,8070,Bicudo,['salt'],[]
Diplodus noct,8112,Arabian pinfish,['salt'],[]
Diplodus omanensis,46378,Oman porgy,['salt'],[]
Diplodus prayensis,8064,Common two-banded sb,['salt'],[]
Diplodus puntazzo,1749,Appezzutu,"['brackish', 'salt']",[]
Diplodus sargus,1753,Akkaragöz balığı,"['brackish', 'salt']",[]
Diplodus striatus,68250,,['salt'],[]
Diplodus vulgaris,1754,Amarel,['salt'],[]
