ScientificName,SpecCode,CommonName,Environments,Subspecies
Sphyraena acutipinnis,5733,Balyos,"['brackish', 'salt']",[]
Sphyraena afra,5030,Akpa,"['brackish', 'salt']",[]
Sphyraena arabiansis,68665,Arabian barracuda,['salt'],[]
Sphyraena argentea,3678,Barrakuda srebrzysta,['salt'],[]
Sphyraena barracuda,1235,Ai,"['brackish', 'salt']",[]
Sphyraena borealis,3679,Barracuda,['salt'],[]
Sphyraena chrysotaenia,16905,Barakuda żółtopłetwa,['salt'],[]
Sphyraena ensis,6405,Barracuda,['salt'],[]
Sphyraena flavicauda,7937,Agam,['salt'],[]
Sphyraena forsteri,5734,Abai,['salt'],[]
Sphyraena guachancho,1236,Ahnèche,"['brackish', 'salt']",[]
Sphyraena helleri,6649,Balyos,['salt'],[]
Sphyraena iburiensis,62382,,['salt'],[]
Sphyraena idiastes,8335,Aguja,['salt'],[]
Sphyraena intermedia,65628,,['salt'],[]
Sphyraena japonica,13002,Ae-kko-ch'i,['salt'],[]
Sphyraena jello,4827,Agam,"['brackish', 'salt']",[]
Sphyraena lucasana,12007,Barracuda agujona,['salt'],[]
Sphyraena novaehollandiae,5736,Arrow barracuda,['salt'],[]
Sphyraena obtusata,4493,Agam,"['brackish', 'salt']",[]
Sphyraena picudilla,1237,Barracuda,['salt'],[]
Sphyraena pinguis,13001,Aka-kamasu,['salt'],[]
Sphyraena putnamae,7938,Alu,['salt'],[]
Sphyraena qenie,7939,Alu-alu,['salt'],[]
Sphyraena sphyraena,1765,Alluzz,['salt'],[]
Sphyraena stellata,69339,Hoso-kamasu,['salt'],[]
Sphyraena tome,50139,Bicuda,['salt'],[]
Sphyraena viridensis,10202,Barakoda sfraa elfam,['salt'],[]
Sphyraena waitii,12557,韋氏魣,['salt'],[]
