ScientificName,SpecCode,CommonName,Environments,Subspecies
Squatina aculeata,725,Akanthorina,['salt'],[]
Squatina africana,726,Aafrika ingelhai,['salt'],[]
Squatina albipunctata,63677,Eastern Angel Shark,['salt'],[]
Squatina argentina,727,Ange de mer argentin,['salt'],[]
Squatina armata,55066,Angel shark,['salt'],[]
Squatina australis,728,Ange de mer australien,['salt'],[]
Squatina caillieti,65908,Filipiini ingelhai,['salt'],[]
Squatina californica,729,Ange de mer du Pacifique,['salt'],[]
Squatina david,68069,Angelote de David,['salt'],[]
Squatina dumeril,731,Ameerika ingelhai,['salt'],[]
Squatina formosa,732,Ange de mer moinillon,['salt'],[]
Squatina guggenheim,53932,Angelito,"['brackish', 'salt']",[]
Squatina heteroptera,63662,Angelote disparejo,['salt'],[]
Squatina japonica,733,Ange de mer Kasuzame,['salt'],[]
Squatina leae,70245,Angelote de Lea,['salt'],[]
Squatina legnota,63720,Indoneesia ingelhai,['salt'],[]
Squatina mapama,69595,Angelote de cresta pequeña,['salt'],[]
Squatina mexicana,63667,Angelote mexicano,['salt'],[]
Squatina nebulosa,734,Ange de mer,['salt'],[]
Squatina occulta,53931,Ange de mer ocellé,['salt'],[]
Squatina oculata,735,Ange de mer ocellé,['salt'],[]
Squatina pseudocellata,63721,Hägustäpp-ingelhai,['salt'],[]
Squatina squatina,736,An bráthair,"['brackish', 'salt']",[]
Squatina tergocellata,737,Ange de mer bourgeois,['salt'],[]
Squatina tergocellatoides,738,Ange de mer dandy,['salt'],[]
Squatina varii,68861,,['salt'],[]
