ScientificName,SpecCode,CommonName,Environments,Subspecies
Maurolicus amethystinopunctatus,60991,Argent filós,['salt'],[]
Maurolicus australis,51609,Pennant lantern-fish,['salt'],[]
Maurolicus breviculus,51616,短身穆氏暗光魚,['salt'],[]
Maurolicus imperatorius,51610,Emperor seamount lightfish,['salt'],[]
Maurolicus inventionis,51601,南印度洋穆氏暗光魚,['salt'],[]
Maurolicus japonicus,60992,Kyūri-eso,['salt'],[]
Maurolicus javanicus,51614,Javan pearlside,['salt'],[]
Maurolicus kornilovorum,51613,东非穆氏暗光鱼,['salt'],[]
Maurolicus mucronatus,51615,尖穆氏暗光魚,['salt'],[]
Maurolicus muelleri,754,Acciuga Maria Luisa,['salt'],[]
Maurolicus parvipinnis,51606,小翅穆氏暗光魚,['salt'],[]
Maurolicus rudjakovi,51608,魯迪穆氏暗光魚,['salt'],[]
Maurolicus stehmanni,51603,斯特穆氏暗光魚,['salt'],[]
Maurolicus walvisensis,51607,南大西洋穆氏暗光魚,['salt'],[]
Maurolicus weitzmani,51611,Atlantic pearlside,['salt'],[]
