ScientificName,SpecCode,CommonName,Environments,Subspecies
Polyipnus aquavitus,24500,Aquavit hatchetfish,['salt'],[]
Polyipnus asper,52660,糙烛光鱼,['salt'],[]
Polyipnus asteroides,47695,Pez hacha aquillado,['salt'],[]
Polyipnus bruuni,52654,布氏烛光鱼,['salt'],[]
Polyipnus clarus,47696,Slope hatchetfish,['salt'],[]
Polyipnus danae,52658,达纳氏烛光鱼,['salt'],[]
Polyipnus elongatus,24502,Elongate hatchetfish,['salt'],[]
Polyipnus fraseri,22795,Tsuno-hônen-eso,['salt'],[]
Polyipnus indicus,16711,印度烛光鱼,['salt'],[]
Polyipnus inermis,52663,无刺烛光鱼,['salt'],[]
Polyipnus kiwiensis,24505,Kiwi hatchetfish,['salt'],[]
Polyipnus laruei,68466,Bigeye hatchetfish,['salt'],[]
Polyipnus laternatus,47592,Pez hacha linterna,['salt'],[]
Polyipnus latirastrus,58226,Combside hatchetfish,['salt'],[]
Polyipnus limatulus,61158,,['salt'],[]
Polyipnus matsubarai,22796,Hoshi-hônen-eso,['salt'],[]
Polyipnus meteori,52652,米氏烛光鱼,['salt'],[]
Polyipnus notatus,70224,,['salt'],[]
Polyipnus nuttingi,7390,Nutting's hatchet fish,['salt'],[]
Polyipnus oluolus,52664,馬紹爾群島燭光魚,['salt'],[]
Polyipnus omphus,16713,象烛光鱼,['salt'],[]
Polyipnus ovatus,52653,卵形烛光鱼,['salt'],[]
Polyipnus parini,22792,Maru-hônen-eso,['salt'],[]
Polyipnus paxtoni,52665,Paxton's hatchetfish,['salt'],[]
Polyipnus polli,10165,Round hatchetfish,['salt'],[]
Polyipnus ruggeri,24507,Rugby hatchetfish,['salt'],[]
Polyipnus soelae,52666,Soela hatchetfish,['salt'],[]
Polyipnus spinifer,22793,Nokoba-hônen-eso,['salt'],[]
Polyipnus spinosus,7593,Spiny hatchetfish,['salt'],[]
Polyipnus stereope,22794,Kata-hônen-eso,['salt'],[]
Polyipnus surugaensis,52656,Suruga-hounen-eso,['salt'],[]
Polyipnus tridentifer,10562,Luminous fish,['salt'],[]
Polyipnus triphanos,10386,Mitsuyubi-hônen-eso,['salt'],[]
Polyipnus unispinus,27620,单棘烛光鱼,['salt'],[]
