ScientificName,SpecCode,CommonName,Environments,Subspecies
Eustomias achirus,11736,Proud dragonfish,['salt'],[]
Eustomias acinosus,60281,,['salt'],[]
Eustomias aequatorialis,51706,大西洋真巨口魚,['salt'],[]
Eustomias albibulbus,61133,,['salt'],[]
Eustomias appositus,59151,联球真巨口鱼,['salt'],[]
Eustomias arborifer,11737,树球真巨口鱼,['salt'],[]
Eustomias australensis,24531,Australian dragonfish,['salt'],[]
Eustomias austratlanticus,59811,,['salt'],[]
Eustomias bertelseni,59820,,['salt'],[]
Eustomias bibulboides,59812,,['salt'],[]
Eustomias bibulbosus,59809,双球真巨口鱼,['salt'],[]
Eustomias bifilis,10326,Hosohige-hoshi-eso,['salt'],[]
Eustomias bigelowi,11738,比氏真巨口魚,['salt'],[]
Eustomias bimargaritatus,11741,双缘真巨口鱼,['salt'],[]
Eustomias bimargaritoides,59214,,['salt'],[]
Eustomias binghami,57684,宾氏真巨口鱼,['salt'],[]
Eustomias bituberatus,59814,双瘤真巨口鱼,['salt'],[]
Eustomias bituberoides,59815,,['salt'],[]
Eustomias borealis,57599,,['salt'],[]
Eustomias braueri,11742,布氏真巨口魚,['salt'],[]
Eustomias brevibarbatus,47581,Pez dragón pelado,['salt'],[]
Eustomias bulbiramis,61128,,['salt'],[]
Eustomias bulbornatus,16702,Grapevine dragonfish,['salt'],[]
Eustomias cancriensis,59218,瘤须真巨口鱼,['salt'],[]
Eustomias cirritus,59217,,['salt'],[]
Eustomias contiguus,61135,,['salt'],[]
Eustomias crossotus,59213,,['salt'],[]
Eustomias crucis,55091,,['salt'],[]
Eustomias cryptobulbus,61130,Hiddenbulb dragonfish,['salt'],[]
Eustomias curtatus,59822,,['salt'],[]
Eustomias curtifilis,57603,,['salt'],[]
Eustomias danae,60509,,['salt'],[]
Eustomias decoratus,61149,,['salt'],[]
Eustomias dendriticus,11743,Chobihige-hoshi-eso,['salt'],[]
Eustomias dendrobium,69254,Dendrobium dragonfish,['salt'],[]
Eustomias deofamiliaris,59817,,['salt'],[]
Eustomias digitatus,61136,,['salt'],[]
Eustomias dinema,56558,,['salt'],[]
Eustomias dispar,61137,,['salt'],[]
Eustomias dubius,58239,疑真巨口魚,['salt'],[]
Eustomias elongatus,61127,,['salt'],[]
Eustomias enbarbatus,11744,Barbate dragonfish,['salt'],[]
Eustomias filifer,11745,叉须真巨口鱼,['salt'],[]
Eustomias fissibarbis,11746,Pez dragón ramudo,['salt'],[]
Eustomias flagellifer,61129,,['salt'],[]
Eustomias furcifer,11747,Scaleless dragonfish,['salt'],[]
Eustomias gibbsi,59220,吉氏真巨口魚,['salt'],[]
Eustomias globulifer,70491,,['salt'],[]
Eustomias grandibulbus,25671,须球真巨口鱼,['salt'],[]
Eustomias hulleyi,61138,,['salt'],[]
Eustomias hypopsilus,60280,下裸真巨口魚,['salt'],[]
Eustomias ignotus,61139,,['salt'],[]
Eustomias inconstans,59816,,['salt'],[]
Eustomias insularum,51711,佛得角真巨口魚,['salt'],[]
Eustomias intermedius,51709,中長真巨口魚,['salt'],[]
Eustomias interruptus,56559,,['salt'],[]
