ScientificName,SpecCode,CommonName,Environments,Subspecies
Symphysanodon andersoni,60290,,['salt'],[]
Symphysanodon berryi,7542,Parguito,['salt'],[]
Symphysanodon disii,64089,,['salt'],[]
Symphysanodon katayamai,13008,Kawarihanadai,['salt'],[]
Symphysanodon maunaloae,10468,Beautimous wampeejaw,['salt'],[]
Symphysanodon mona,62186,Akarnax Slopefish,['salt'],[]
Symphysanodon octoactinus,52880,Colirubia Rosa,['salt'],[]
Symphysanodon parini,62187,Sala y Gómez Slopefish,['salt'],[]
Symphysanodon pitondelafournaisei,65529,Colas de La Réunion,['salt'],[]
Symphysanodon rhax,62188,Maldives Slopefish,['salt'],[]
Symphysanodon typus,10580,Aristocratic bunquelovely,['salt'],[]
Symphysanodon xanthopterygion,66201,Indian Bunquelovely,['salt'],[]
