ScientificName,SpecCode,CommonName,Environments,Subspecies
Inimicus brachyrhynchus,59063,Singapore stinger,['salt'],[]
Inimicus caledonicus,12031,Bearded ghoul,['salt'],[]
Inimicus cuvieri,10637,Depu,['salt'],[]
Inimicus didactylus,5826,Bearded ghoul,"['brackish', 'salt']",[]
Inimicus filamentosus,6403,Barred ghoul,['salt'],[]
Inimicus gruzovi,59060,格氏鬼鮋,['salt'],[]
Inimicus japonicus,6386,Depu-kala Jepun,['salt'],[]
Inimicus joubini,23892,Cá Mặt Quỷ,['salt'],[]
Inimicus sinensis,10537,Chinese stinger,['salt'],[]
Inimicus smirnovi,59062,斯氏鬼鮋,['salt'],[]
