ScientificName,SpecCode,CommonName,Environments,Subspecies
Monopterus albus,4663,Antong,"['fresh', 'brackish']",[]
Monopterus bicolor,65669,,['fresh'],[]
Monopterus boueti,9895,Libeeria riisiangerjas,['fresh'],[]
Monopterus cuchia,5337,Anahi,"['fresh', 'brackish']",[]
Monopterus desilvai,59058,Desilva's blind eel,['fresh'],[]
Monopterus dienbienensis,65680,,['fresh'],[]
Monopterus digressus,62295,,['fresh'],[]
Monopterus eapeni,25116,Malabar swamp eel,['fresh'],[]
Monopterus fossorius,25110,Malabar swampeel,['fresh'],[]
Monopterus hodgarti,17473,Indian spaghetti-eel,['fresh'],[]
Monopterus ichthyophoides,66178,,['fresh'],[]
Monopterus indicus,25112,Bombay swampeel,['fresh'],[]
Monopterus luticolus,68314,,['fresh'],[]
Monopterus rongsaw,68795,,['fresh'],[]
Monopterus roseni,49994,,['fresh'],[]
