ScientificName,SpecCode,CommonName,Environments,Subspecies
Corythoichthys amplexus,6659,Brown-banded pipefish,['salt'],[]
Corythoichthys benedetto,63726,Benedetto's pipefish,['salt'],[]
Corythoichthys conspicillatus,66915,,['salt'],[]
Corythoichthys flavofasciatus,5959,Banded pipefish,['salt'],[]
Corythoichthys haematopterus,5960,Bloodspot pipefish,['salt'],[]
Corythoichthys insularis,25368,海岛冠海龙,['salt'],[]
Corythoichthys intestinalis,5961,Australian banded pipe,['salt'],[]
Corythoichthys nigripectus,5962,Blackbreasted pipefish,['salt'],[]
Corythoichthys ocellatus,5963,Dagum-dagum,['salt'],[]
Corythoichthys paxtoni,27349,Paxton's pipefish,['salt'],[]
Corythoichthys polynotatus,5964,Dagum-dagum,['salt'],[]
Corythoichthys schultzi,5965,Dagum-dagum,['salt'],[]
