ScientificName,SpecCode,CommonName,Environments,Subspecies
Syngnathus abaster,1769,Aguja de rio,"['fresh', 'brackish', 'salt']",[]
Syngnathus acus,1770,Acu de mari,"['brackish', 'salt']",[]
Syngnathus affinis,3292,Pez pipa texano,['salt'],[]
Syngnathus auliscus,3294,Agujilla,"['brackish', 'salt']",[]
Syngnathus californiensis,3295,Gran pez pipa,['salt'],[]
Syngnathus caribbaeus,23344,Caribbean Pipefish,['salt'],[]
Syngnathus carinatus,46209,棱海龍,['salt'],[]
Syngnathus caspius,70465,,"['fresh', 'brackish']",[]
Syngnathus chihiroe,69751,Chihiro-yoji,['salt'],[]
Syngnathus dawsoni,61275,,['salt'],[]
Syngnathus euchrous,3298,Chocolate pipefish,['salt'],[]
Syngnathus exilis,3299,Barcheek pipefish,['salt'],[]
Syngnathus floridae,3300,Dusky pipefish,['salt'],[]
Syngnathus folletti,61274,Aguja,"['brackish', 'salt']",[]
Syngnathus fuscus,3301,Northern pipefish,"['fresh', 'brackish', 'salt']",[]
Syngnathus insulae,46210,Guadalupe pipefish,['salt'],[]
Syngnathus leptorhynchus,3303,Bay pipefish,"['brackish', 'salt']",[]
Syngnathus louisianae,3304,Chain pipefish,['salt'],[]
Syngnathus macrobrachium,46211,大臂海龍,['salt'],[]
Syngnathus macrophthalmus,46212,大眼海龍,['salt'],[]
Syngnathus makaxi,58694,Pez pipa yucateco,['salt'],[]
Syngnathus pelagicus,3305,Agulha marinha,['salt'],[]
Syngnathus phlegon,1767,Aguja espinosa,['salt'],[]
Syngnathus rostellatus,1359,Kleine Seenadel,"['brackish', 'salt']",[]
Syngnathus safina,61282,,['salt'],[]
Syngnathus schlegeli,23118,Jaapani merinõel,"['brackish', 'salt']",[]
Syngnathus schmidti,16342,Ac de mare ghimpat,"['fresh', 'brackish']",[]
Syngnathus scovelli,3306,Gulf pipefish,"['fresh', 'brackish', 'salt']",[]
Syngnathus springeri,3307,Bull pipefish,['salt'],[]
Syngnathus taenionotus,16345,Aadria merinõel,"['brackish', 'salt']",[]
Syngnathus temminckii,68845,,"['brackish', 'salt']",[]
Syngnathus tenuirostris,25963,Ac de mare cu bot ascuţit,['salt'],[]
Syngnathus typhle,1360,Ac de mare cu burlan,"['brackish', 'salt']",[]
Syngnathus variegatus,25962,Ac de mare,['salt'],[]
Syngnathus watermeyeri,6304,Južnoafriško rečno šilo,['brackish'],[]
