ScientificName,SpecCode,CommonName,Environments,Subspecies
Hephaestus adamsoni,10599,Adamson's grunter,['fresh'],[]
Hephaestus carbo,14932,Black grunter,['fresh'],[]
Hephaestus epirrhinos,10600,Longnose sooty grunter,['fresh'],[]
Hephaestus fuliginosus,6432,Black bream,['fresh'],[]
Hephaestus habbemai,25726,Mountain grunter,['fresh'],[]
Hephaestus jenkinsi,14936,Emana,['fresh'],[]
Hephaestus komaensis,48551,康馬河弱棘鯻,['fresh'],[]
Hephaestus lineatus,25727,Lined grunter,['fresh'],[]
Hephaestus obtusifrons,10601,Striped grunter,['fresh'],[]
Hephaestus raymondi,25731,Ray Moore's grunter,['fresh'],[]
Hephaestus roemeri,25733,Röemer's grunter,['fresh'],[]
Hephaestus transmontanus,25738,Northern grunter,['fresh'],[]
Hephaestus trimaculatus,10602,Threespot grunter,['fresh'],[]
Hephaestus tulliensis,62539,Khaki bream,['fresh'],[]
