ScientificName,SpecCode,CommonName,Environments,Subspecies
Syncomistes bonapartensis,68949,Lake Bonaparte grunter,['fresh'],[]
Syncomistes butleri,14948,Butler's grunter,['fresh'],[]
Syncomistes carcharus,68950,Sharp-toothed grunter,['fresh'],[]
Syncomistes dilliensis,68954,Dillie grunter,['fresh'],[]
Syncomistes holsworthi,68955,Holsworth's grunter,['fresh'],[]
Syncomistes kimberleyensis,10625,Kimberley grunter,['fresh'],[]
Syncomistes moranensis,68956,Moran grunter,['fresh'],[]
Syncomistes rastellus,10626,Drysdale grunter,['fresh'],[]
Syncomistes trigonicus,14950,Longnose grunter,['fresh'],[]
Syncomistes versicolor,68957,The many-coloured grunter,['fresh'],[]
Syncomistes wunambal,68958,Wunambal grunter,['fresh'],[]
