ScientificName,SpecCode,CommonName,Environments,Subspecies
Canthigaster amboinensis,7840,Ambon puffer,['salt'],[]
Canthigaster axiologus,65366,Pacific crown toby,['salt'],[]
Canthigaster aziz,69514,Aziz's toby,['salt'],[]
Canthigaster bennetti,6541,Bennetti's sharpnose puffer,['salt'],[]
Canthigaster caeruleolineata,69920,Blue-lined toby,['salt'],[]
Canthigaster callisterna,12770,Clown toado,['salt'],[]
Canthigaster capistrata,61212,Macaronesian sharpnose-puffer,['salt'],[]
Canthigaster compressa,6542,Buriring,"['brackish', 'salt']",[]
Canthigaster coronata,7845,Banded sharpnose pufferfish,['salt'],[]
Canthigaster criobe,67437,Striped toby,['salt'],[]
Canthigaster cyanetron,54886,Bluebelly toby,['salt'],[]
Canthigaster cyanospilota,65363,Blue-spotted toby,['salt'],[]
Canthigaster epilampra,7846,Bluespotted goby,['salt'],[]
Canthigaster figueiredoi,61201,Baiacu-mirim,['salt'],[]
Canthigaster flavoreticulata,55012,黃網紋扁背魨,['salt'],[]
Canthigaster inframacula,55010,Hokuro-kinchakufugu,['salt'],[]
Canthigaster investigatoris,10590,小口扁背魨,['salt'],[]
Canthigaster jactator,7844,Hawaiian whitespotted toby,['salt'],[]
Canthigaster jamestyleri,61202,Goldface toby,['salt'],[]
Canthigaster janthinoptera,6543,Buntel totol,['salt'],[]
Canthigaster leoparda,6545,Butete,['salt'],[]
Canthigaster margaritata,12778,Aaltopallokala,['salt'],[]
Canthigaster marquesensis,55005,,['salt'],[]
Canthigaster natalensis,61396,Lesh,['salt'],[]
Canthigaster ocellicincta,12684,Circle-barred puffer,['salt'],[]
Canthigaster papua,55072,False-eye puffer,['salt'],[]
Canthigaster petersii,67511,Peter's toby,['salt'],[]
Canthigaster punctata,55015,孔斑扁背魨,['salt'],[]
Canthigaster punctatissima,14159,Botete bonito,['salt'],[]
Canthigaster pygmaea,25414,Pygmy toby,['salt'],[]
Canthigaster rapaensis,55008,,['salt'],[]
Canthigaster rivulata,6668,Boultang,['salt'],[]
Canthigaster rostrata,4291,Baiacu,['salt'],[]
Canthigaster sanctaehelenae,55073,Bastard Hogfish,['salt'],[]
Canthigaster smithae,12768,Bicolored toby,['salt'],[]
Canthigaster solandri,6578,Buqmah solandri,['salt'],[]
Canthigaster supramacula,61203,West African sharpnose-puffer,['salt'],[]
Canthigaster tyleri,12829,Tansanianpallokala,['salt'],[]
Canthigaster valentini,6544,Banded toby,['salt'],[]
