ScientificName,SpecCode,CommonName,Environments,Subspecies
Torquigener albomaculosus,67499,Amami-hoshizora-fugu,['salt'],[]
Torquigener altipinnis,27516,Highfin toadfish,['salt'],[]
Torquigener andersonae,52450,Anderson's toadfish,['salt'],[]
Torquigener balteus,26420,Slank blaasop,['salt'],[]
Torquigener brevipinnis,10569,Yellow-stripe toadfish,['salt'],[]
Torquigener flavimaculosus,26639,Cüce balon balığı,['salt'],[]
Torquigener florealis,46420,Floral puffer,['salt'],[]
Torquigener gloerfelti,55061,南海窄額魨,['salt'],[]
Torquigener hicksi,10555,Buntal-kodok rintik,['salt'],[]
Torquigener hypselogeneion,8307,Buntal-kodok jingga,"['brackish', 'salt']",[]
Torquigener marleyi,66624,,['salt'],[]
Torquigener pallimaculatus,11218,Buntal-kodok tompok,['salt'],[]
Torquigener parcuspinus,10557,Buntal-kodok spina,['salt'],[]
Torquigener paxtoni,55068,帕氏窄額魨,['salt'],[]
Torquigener perlevis,52449,Spineless toadfish,"['brackish', 'salt']",[]
Torquigener pleurogramma,14571,Banded toadfish,"['brackish', 'salt']",[]
Torquigener randalli,46421,Randall's puffer,['salt'],[]
Torquigener squamicauda,52448,Brushtail toadfish,"['brackish', 'salt']",[]
Torquigener tuberculiferus,12963,Buntal-kodok badut,['salt'],[]
Torquigener vicinus,55067,Orangespotted puffer,['salt'],[]
Torquigener whitleyi,11684,Whitley's toadfish,['salt'],[]
