ScientificName,SpecCode,CommonName,Environments,Subspecies
Tetronarce californica,2552,Californisk darrocka,['salt'],[]
Tetronarce cowleyi,68041,Cowley's torpedo ray,['salt'],[]
Tetronarce fairchildi,48865,Electric ray,['salt'],[]
Tetronarce formosa,63779,Taiwan torpedo ray,['salt'],[]
Tetronarce macneilli,24104,Australian torpedo,['salt'],[]
Tetronarce microdiscus,54843,Kleinschijfsidderrog,['salt'],[]
Tetronarce nobiliana,2553,Anko-shibire-ei,['salt'],[]
Tetronarce occidentalis,68786,Western atlantic torpedo,['salt'],[]
Tetronarce peruana,27061,Electric ray,['salt'],[]
Tetronarce puelcha,57376,Argentiina elektrirai,['salt'],[]
Tetronarce semipelagica,54844,Avavee elektrirai,['salt'],[]
Tetronarce tokionis,22539,Trapets-elektrirai,['salt'],[]
Tetronarce tremens,13273,Chilean torpedo,['salt'],[]
