ScientificName,SpecCode,CommonName,Environments,Subspecies
Hoplostethus abramovi,15681,,['salt'],[]
Hoplostethus atlanticus,334,Atlantic slimehead,['salt'],[]
Hoplostethus cadenati,5471,Black slimehead,['salt'],[]
Hoplostethus confinis,15648,准胸棘鲷,['salt'],[]
Hoplostethus crassispinus,15678,Maru-hiuchidai,['salt'],[]
Hoplostethus druzhinini,15668,德氏胸棘鯛,['salt'],[]
Hoplostethus fedorovi,15680,費氏胸棘鯛,['salt'],[]
Hoplostethus fragilis,15688,Chilean roughy,['salt'],[]
Hoplostethus gigas,15635,Giant sawbelly,['salt'],[]
Hoplostethus grandperrini,66718,Grandperrin's giant sawbelly,['salt'],[]
Hoplostethus japonicus,15674,Flintperch,['salt'],[]
Hoplostethus latus,14720,Giant sawbelly,['salt'],[]
Hoplostethus marisrubri,15676,Red Sea roughy,['salt'],[]
Hoplostethus mediterraneus,4964,Alfonsim-de-natura,['salt'],[]
Hoplostethus melanopeza,66717,New Zealand giant sawbelly,['salt'],[]
Hoplostethus melanopterus,15693,Blackfin roughy,['salt'],[]
Hoplostethus melanopus,10668,Hoplostète scutelle,['salt'],[]
Hoplostethus mento,15696,Degenfisch,['salt'],[]
Hoplostethus metallicus,15699,Metallic roughy,['salt'],[]
Hoplostethus mikhailini,15666,迈氏胸棘鲷,['salt'],[]
Hoplostethus occidentalis,15670,Atlantic Roughy,['salt'],[]
Hoplostethus pacificus,15683,Degenfisch,['salt'],[]
Hoplostethus ravurictus,65347,,['salt'],[]
Hoplostethus rifti,15673,里氏胸棘鯛,['salt'],[]
Hoplostethus robustispinus,65512,Thickspine roughy,['salt'],[]
Hoplostethus roseus,70259,Rosy roughy,['salt'],[]
Hoplostethus rubellopterus,15645,浅红鳍胸棘鲷,['salt'],[]
Hoplostethus shubnikovi,15641,Metavay sawbelly,['salt'],[]
Hoplostethus tenebricus,15644,暗胸棘鯛,['salt'],[]
Hoplostethus vniro,54098,野胸棘鯛,['salt'],[]
