ScientificName,SpecCode,CommonName,Environments,Subspecies
Benthodesmus elongatus,3909,Aflang frostfisk,['salt'],[]
Benthodesmus macrophthalmus,8546,Bigeye frostfish,['salt'],[]
Benthodesmus neglectus,8547,Cintilla descuido,['salt'],[]
Benthodesmus oligoradiatus,8548,Cintilla rastrillo,['salt'],[]
Benthodesmus pacificus,8550,Bigeye frostfish,['salt'],[]
Benthodesmus papua,8552,Cintilla papua,['salt'],[]
Benthodesmus simonyi,8553,Benthodema,['salt'],[]
Benthodesmus suluensis,8555,Balila,['salt'],[]
Benthodesmus tenuis,8563,Balila,['salt'],[]
Benthodesmus tuckeri,8565,Balila,['salt'],[]
Benthodesmus vityazi,8566,Balila,['salt'],[]
