ScientificName,SpecCode,CommonName,Environments,Subspecies
Ituglanis agreste,67140,,['fresh'],[]
Ituglanis amazonicus,48663,Cambeva,['fresh'],[]
Ituglanis amphipotamus,69977,,['fresh'],[]
Ituglanis apteryx,67590,,['fresh'],[]
Ituglanis australis,67722,,['fresh'],[]
Ituglanis bambui,62237,,['fresh'],[]
Ituglanis boitata,68013,,['fresh'],[]
Ituglanis cahyensis,62979,,['fresh'],[]
Ituglanis compactus,68648,,['fresh'],[]
Ituglanis eichorniarum,48679,巴西伊都毛鼻鯰,['fresh'],[]
Ituglanis epikarsticus,62238,,['fresh'],[]
Ituglanis goya,69558,,['fresh'],[]
Ituglanis gracilior,48112,細身伊都毛鼻鯰,['fresh'],[]
Ituglanis guayaberensis,58380,,['fresh'],[]
Ituglanis herberti,48693,赫氏伊都毛鼻鯰,['fresh'],[]
Ituglanis ina,66628,,['fresh'],[]
Ituglanis laticeps,48701,Bagrecito,['fresh'],[]
Ituglanis macunaima,62695,,['fresh'],[]
Ituglanis mambai,63702,,['fresh'],[]
Ituglanis metae,48709,Bagrecito,['fresh'],[]
Ituglanis nebulosus,62279,,['fresh'],[]
Ituglanis paraguassuensis,63405,,['fresh'],[]
Ituglanis parahybae,53629,帕拉氏伊都毛鼻鯰,['fresh'],[]
Ituglanis parkoi,48716,帕高氏伊都毛鼻鯰,['fresh'],[]
Ituglanis passensis,60294,,['fresh'],[]
Ituglanis proops,48718,前眼伊都毛鼻鯰,['fresh'],[]
Ituglanis ramiroi,62239,,['fresh'],[]
