ScientificName,SpecCode,CommonName,Environments,Subspecies
Prionotus alatus,4020,Rubio espinoso,"['brackish', 'salt']",[]
Prionotus albirostris,14256,Cabro cariblanco,['salt'],[]
Prionotus beanii,7497,Bean's searobin,['salt'],[]
Prionotus birostratus,14257,Gallineta,['salt'],[]
Prionotus carolinus,1243,Grondin carolin,"['brackish', 'salt']",[]
Prionotus evolans,1244,Grondin volant,"['brackish', 'salt']",[]
Prionotus horrens,14258,Bristly searobin,['salt'],[]
Prionotus longispinosus,4026,Bigeye searobin,"['brackish', 'salt']",[]
Prionotus martis,4021,Barred searobin,"['brackish', 'salt']",[]
Prionotus miles,12892,Galapagos gurnard,['salt'],[]
Prionotus murielae,59583,穆氏鋸魴鮄,['salt'],[]
Prionotus nudigula,14029,Atlantic searobin,['salt'],[]
Prionotus ophryas,4022,Båndhalet knurhane,"['brackish', 'salt']",[]
Prionotus paralatus,4023,Mexican searobin,"['brackish', 'salt']",[]
Prionotus punctatus,1245,Atlantic searobin,"['brackish', 'salt']",[]
Prionotus roseus,4024,Blåplettet knurhane,"['brackish', 'salt']",[]
Prionotus rubio,4025,Blackwing Searobin,"['brackish', 'salt']",[]
Prionotus ruscarius,14259,Common searobin,['salt'],[]
Prionotus scitulus,4027,Leopard searobin,['salt'],[]
Prionotus stearnsi,4028,Gallina aleta corta,['salt'],[]
Prionotus stephanophrys,4029,Blackfin gurnard,"['brackish', 'salt']",[]
Prionotus teaguei,14260,Grondin costa-ricien,['salt'],[]
Prionotus tribulus,4030,Bighead searobin,['salt'],[]
