ScientificName,SpecCode,CommonName,Environments,Subspecies
Helcogramma albimacula,61867,Whitespot triplefin,['salt'],[]
Helcogramma alkamr,64604,,['salt'],[]
Helcogramma aquila,15960,Blacktail triplefin,['salt'],[]
Helcogramma ascensionis,67644,Ascension triplefin,['salt'],[]
Helcogramma atauroensis,68360,Red-anal triplefin,['salt'],[]
Helcogramma billi,8501,比尔氏弯线鳚,['salt'],[]
Helcogramma capidata,8502,Hooded triplefin,['salt'],[]
Helcogramma cerasina,61868,,['salt'],[]
Helcogramma chica,8503,Little hooded triplefin,['salt'],[]
Helcogramma decurrens,8506,Blackthroat threefin,['salt'],[]
Helcogramma desa,61869,Neglected triplefin,['salt'],[]
Helcogramma ellioti,8507,Red-eye threefin,['salt'],[]
Helcogramma ememes,64605,,['salt'],[]
Helcogramma fuscipectoris,51563,Fourspot triplefin,['salt'],[]
Helcogramma fuscopinna,8508,Blackfin triplefin,['salt'],[]
Helcogramma gymnauchen,13577,Kuromasuku,['salt'],[]
Helcogramma hudsoni,14204,Hudson's triplefin,['salt'],[]
Helcogramma inclinata,51565,Aya-hebiginpo,['salt'],[]
Helcogramma kranos,51566,Helmet triplefin,['salt'],[]
Helcogramma lacuna,61888,Cavern triplefin,['salt'],[]
Helcogramma larvata,25692,蠕弯线鳚,['salt'],[]
Helcogramma maldivensis,25691,馬爾代夫島彎線鳚,['salt'],[]
Helcogramma microstigma,64606,,['salt'],[]
Helcogramma nesion,61889,,['salt'],[]
Helcogramma nigra,61891,Rotuma triplefin,['salt'],[]
Helcogramma novaecaledoniae,47159,New Caledonia triplefin,['salt'],[]
Helcogramma obtusirostris,8046,Hotlips triplefin,"['brackish', 'salt']",[]
Helcogramma randalli,61900,Randall's triplefin,['salt'],[]
Helcogramma rharhabe,64607,,['salt'],[]
Helcogramma rhinoceros,8510,Rhino threefin,['salt'],[]
Helcogramma rosea,64608,Rosy triplefin,['salt'],[]
Helcogramma serendip,64609,,['salt'],[]
Helcogramma shinglensis,67066,,['salt'],[]
Helcogramma solorensis,51567,Solor triplefin,['salt'],[]
Helcogramma springeri,8511,Springer's threefin,['salt'],[]
Helcogramma steinitzi,26343,Red triplefin,['salt'],[]
Helcogramma striata,8514,Lined Triplefin,['salt'],[]
Helcogramma trigloides,23562,Aya-hebiginpo,['salt'],[]
Helcogramma vulcana,12758,Volcano triplefin,['salt'],[]
Helcogramma williamsi,67176,,['salt'],[]
