ScientificName,SpecCode,CommonName,Environments,Subspecies
Urolophus aurantiacus,22578,Hè huáng biǎn hóng,['salt'],[]
Urolophus bucculentus,15441,Great stingaree,['salt'],[]
Urolophus circularis,23964,Banded sting-ray,['salt'],[]
Urolophus cruciatus,23147,Banded stingaree,"['brackish', 'salt']",[]
Urolophus deforgesi,61608,Chesterfieldi jämesabarai,['salt'],[]
Urolophus expansus,23970,Brede doornrog,['salt'],[]
Urolophus flavomosaicus,11601,Lapjesdoornrog,['salt'],[]
Urolophus gigas,23997,Gevlekte doornrog,['salt'],[]
Urolophus javanicus,12591,Jaava jämesabarai,['salt'],[]
Urolophus kaianus,12592,Kai jämesabarai,['salt'],[]
Urolophus kapalensis,63808,Kapala jämesabarai,['salt'],[]
Urolophus lobatus,23999,Gelobde doornrog,['salt'],[]
Urolophus mitosis,11602,Blotched stingaree,['salt'],[]
Urolophus neocaledoniensis,61610,Uuskaledoonia jämesabarai,['salt'],[]
Urolophus orarius,27144,Coastal stingaree,['salt'],[]
Urolophus papilio,61611,Liblik-jämesabarai,['salt'],[]
Urolophus paucimaculatus,24002,Dixons stingaree,['salt'],[]
Urolophus piperatus,61612,Coral sea stingaree,['salt'],[]
Urolophus sufflavus,15442,Geelrugdoornrog,['salt'],[]
Urolophus viridis,15443,Greenback stingaree,['salt'],[]
Urolophus westraliensis,27145,Brown stingaree,['salt'],[]
