ScientificName,SpecCode,CommonName,Environments,Subspecies
Nomorhamphus aenigma,69246,,['fresh'],[]
Nomorhamphus bakeri,61740,,['fresh'],[]
Nomorhamphus brembachi,24748,Punaevänokkakala,"['fresh', 'brackish', 'salt']",[]
Nomorhamphus celebensis,6272,Celebes halvnæb,['fresh'],[]
Nomorhamphus ebrardtii,23404,Ebrardt-Halbschnäbler,"['fresh', 'brackish']",[]
Nomorhamphus hageni,24751,Oranssinokkakala,['fresh'],[]
Nomorhamphus kolonodalensis,60069,Ikan julung-julung,['fresh'],[]
Nomorhamphus lanceolatus,67747,,['fresh'],[]
Nomorhamphus liemi,24752,Koukkunokkakala,['fresh'],[]
Nomorhamphus manifestus,59855,,['fresh'],[]
Nomorhamphus megarrhamphus,6270,Keihäspainijakala,"['fresh', 'brackish']",[]
Nomorhamphus pectoralis,61569,,['fresh'],[]
Nomorhamphus philippinus,47359,Vankkapainijakala,['fresh'],[]
Nomorhamphus pinnimaculatus,59856,,['fresh'],[]
Nomorhamphus ravnaki,24753,Turkoosinokkakala,['fresh'],[]
Nomorhamphus rex,67021,,['fresh'],[]
Nomorhamphus rossi,59857,,['fresh'],[]
Nomorhamphus sagittarius,67748,,['fresh'],[]
Nomorhamphus sanussii,24755,,['fresh'],[]
Nomorhamphus towoetii,24758,Mustanokkakala,['fresh'],[]
Nomorhamphus viviparus,27630,Luzon Halbschnäbler,['fresh'],[]
Nomorhamphus weberi,6271,韋氏皮頦鱵,['fresh'],[]
