ScientificName,SpecCode,CommonName,Environments,Subspecies
Gymnelus andersoni,56548,Andersonålebrosme,['salt'],[]
Gymnelus diporus,57827,,['salt'],[]
Gymnelus gracilis,57914,,['salt'],[]
Gymnelus hemifasciatus,47878,Bigeye unernak,['salt'],[]
Gymnelus obscurus,57919,Tyomniy gimnel,['salt'],[]
Gymnelus pauciporus,47881,少孔裸鳚,['salt'],[]
Gymnelus popovi,47883,Aleutian pout,['salt'],[]
Gymnelus retrodorsalis,15637,Aurora pout,['salt'],[]
Gymnelus soldatovi,57826,,['salt'],[]
Gymnelus taeniatus,58998,Lentoteliy gimnel,['salt'],[]
Gymnelus viridis,3131,Anguille de mer,['salt'],[]
