ScientificName,SpecCode,CommonName,Environments,Subspecies
Lycodapus antarcticus,7024,Loquette antarctique,['salt'],[]
Lycodapus australis,48056,澳洲无足狼鳚,['salt'],[]
Lycodapus derjugini,48057,迪氏无足狼鳚,['salt'],[]
Lycodapus dermatinus,48204,Looseskin eelpout,['salt'],[]
Lycodapus endemoscotus,25269,Deepwater slipskin,['salt'],[]
Lycodapus fierasfer,3133,Bigtooth eelpout,['salt'],[]
Lycodapus leptus,48206,Slender eelpout,['salt'],[]
Lycodapus mandibularis,3134,Pale eelpout,['salt'],[]
Lycodapus microchir,24985,Ashinashigenge,['salt'],[]
Lycodapus pachysoma,7025,Stout slipskin,['salt'],[]
Lycodapus parviceps,3135,Smallhead eelpout,['salt'],[]
Lycodapus poecilus,48207,杂色无足狼鳚,['salt'],[]
Lycodapus psarostomatus,48208,Specklemouth eelpout,['salt'],[]
